Question	Answer	Source
How do I report a data issue or an issue with an address?	Data issues can be reported through the Bing Maps website using the Feedback link.	BingMapsQnA.tsv
What is a transaction?	Bing Maps tracks usage using transactions. Whenever a request is made to the Bing Maps servers a transaction is created. There are two categories of transactions; billable and non-billable. Billable transactions count towards the volume of purchased or free terms of use limit transactions. Non-billable transactions are mainly tracked for information purposes.	BingMapsQnA.tsv
Tell me about the security of Bing Maps	All the Bing maps services and map controls can be accessed using HTTPS. Any data that is overlaid on the interactive maps stays within the map session and does not get sent to the Bing Maps servers. When using the Bing Maps services, usually the only information that can be sent is address or coordinate information and is used to process the request.	BingMapsQnA.tsv
How do I hide my Bing Maps key to prevent someone from stealling it?	There is little reason for someone to steal your Bing Maps key. Anyone can create a Bing Maps key and use the services under the free terms of use. However, if you think your account is being abused, which may suspect due to an unexpected spike in transaction usage, contact the Bing Maps Enterprise Support team. The support team will be able to assist in determining what is the cause of this spike.	BingMapsQnA.tsv
Can I hide the Bing logo or copyrights?	According to the Bing Maps terms of use, customers must display the Bing logo and copyright information on the map. You may move it to a different position on the page so that it doesn't get obscured.	BingMapsQnA.tsv
Where do I get help for Bing Maps?	Developer related questions can be asked in the Bing Maps developer forums here: https://social.msdn.microsoft.com/Forums/en-US/home?category=bingmaps If you have a Bing Maps license you can alternatively contact the Bing Maps Enterprise Support team.	BingMapsQnA.tsv
Can I use Bing Maps offline?	Bing Maps provides offline maps, geocoding and routing in the Windows 10 maps API. In addition to this, you may also store geocode results offline for as long as you have a Bing Maps license. Bing Maps does not provide any other offline map solutions.	BingMapsQnA.tsv
Can I cache Bing Maps tiles or service response?	Bing Maps allows geocode results to be stored offline or cached for as long as you have a Bing Maps license. Tiles and responses from all other Bing Maps services map not be cached or stored offline.	BingMapsQnA.tsv
Can I directly access the Bing Maps tiles in a custom map control?	Yes, Bing Maps does allow map tiles to be used in 3rd party map controls. In order to do this your application must call the Bing Maps REST Imagery Metadata service every time the map is loaded and retrieve the latest URLs to the Bing Maps tiles. This will allow a billable transaction to be generated for each map load while also ensuring that your application is accessing the latest Bing Maps data.	BingMapsQnA.tsv
Which Bing Maps API or service should I use?	Bing Maps provides several Map API's and Services. If developing a web or cross platform app, use the Bing Maps V8 control. If creating a Windows app, use the UWP Maps API that is built into the Windows SDK. If you need access to the services, use the Bing Maps rest services.	BingMapsQnA.tsv
